,KEN1110,KEN1120,KEN1130,KEN1210,KEN1220,KEN1410,KEN1420,KEN2110,KEN2120,KEN2130,KEN2220,KEN2230,KEN2240,KEN2410,KEN2420,KEN2430,KEN2510,KEN2520,KEN2530,KEN2600,
46385,7.0,7.0,6.0,6.0,7.0,8.0,6.0,7.0,6.0,4.0,6.0,4.0,5.0,8.0,3.0,7.0,9.0,6.0,7.0,7.5,
46478,6.0,5.0,6.0,0.0,2.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
46826,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,4.0,6.0,6.0,5.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
46961,8.0,6.0,8.0,7.0,1.0,6.0,-1.0,6.0,4.0,-1.0,-1.0,-1.0,4.0,8.0,-1.0,-1.0,7.0,-1.0,-1.0,6.5,
47413,6.0,7.0,6.0,0.0,7.0,6.0,8.0,8.0,2.0,5.0,2.0,4.0,6.0,8.0,4.0,0.0,4.0,6.0,2.0,6.0,
47484,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,6.0,-1.0,6.0,-1.0,-1.0,4.0,-1.0,-1.0,6.0,-1.0,-1.0,5.0,5.0,-1.0,
48437,9.0,8.0,8.0,9.0,8.0,7.0,8.0,9.0,7.0,10.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0,8.0,8.5,
49020,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
49145,-1.0,-1.0,-1.0,5.0,6.0,4.0,6.0,4.0,6.0,4.0,5.0,4.0,4.0,6.0,6.0,2.0,6.0,7.0,2.0,7.0,
50851,7.0,6.0,6.0,6.0,7.0,2.0,3.0,4.0,6.0,4.0,-1.0,1.0,1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
51253,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,7.0,6.0,9.0,7.0,7.0,9.0,8.0,2.0,7.0,6.0,6.0,8.5,
51470,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,7.0,7.0,8.0,6.0,8.0,8.0,8.0,5.0,8.0,7.0,8.0,6.5,
51996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,8.0,6.0,
52295,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
52488,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
52600,6.0,8.0,6.0,7.0,8.0,7.0,4.0,6.0,6.0,1.0,7.0,2.0,6.0,8.0,3.0,6.0,9.0,0.0,3.0,6.5,
52959,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,2.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,4.0,-1.0,
52965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,6.0,8.0,8.0,9.0,-1.0,7.0,7.0,8.0,9.0,9.0,7.0,-1.0,
53028,8.0,8.0,10.0,8.0,7.0,10.0,8.0,9.0,8.0,6.0,10.0,6.0,6.0,8.0,8.0,6.0,9.0,10.0,7.0,6.5,
54109,9.0,7.0,10.0,6.0,6.0,7.0,7.0,7.0,3.0,6.0,7.0,7.0,4.0,6.0,2.0,5.0,6.0,7.0,7.0,6.0,
55194,6.0,4.0,7.0,6.0,-1.0,8.0,-1.0,6.0,5.0,7.0,7.0,1.0,2.0,8.0,3.0,5.0,6.0,6.0,5.0,7.0,
55222,7.0,8.0,6.0,6.0,8.0,2.0,5.0,4.0,-1.0,1.0,6.0,4.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,
55594,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,7.0,8.0,9.0,8.0,9.0,0.0,10.0,6.0,8.5,
55679,9.0,6.0,9.0,4.0,7.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
56302,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,6.0,6.0,7.0,7.0,7.0,7.0,10.0,8.0,8.0,8.0,7.0,8.5,
56346,7.5,10.0,8.0,9.0,10.0,8.0,10.0,8.0,6.0,6.0,9.0,9.0,8.0,8.0,7.0,6.0,9.0,9.0,7.0,8.0,
59080,-1.0,6.0,-1.0,7.0,4.0,6.0,4.0,8.0,6.0,6.0,4.0,3.0,7.0,8.0,6.0,7.0,7.0,7.0,6.0,7.0,
5921,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
59626,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
59857,7.0,9.0,8.0,6.0,9.0,6.0,10.0,8.0,7.0,5.0,6.0,4.0,-1.0,8.0,4.0,-1.0,8.0,2.0,-1.0,7.0,
60129,7.0,5.0,4.0,1.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
60927,-1.0,7.0,9.0,-1.0,8.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
61067,7.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,8.0,3.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
61359,6.0,5.0,4.0,-1.0,3.0,2.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
62821,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,4.0,4.0,4.0,4.0,7.0,2.0,-1.0,8.0,1.0,-1.0,-1.0,
